alt,mph
37725,539
26775,405
40925,534
25750,389
19825,433
39875,523
29225,527
35725,523
24350,331
33725,520
25650,384
21050,483
33800,529
9000,327
35675,523
26200,511
26700,486
40925,500
24375,437
40875,518
24500,458
11950,424
36750,541
33700,523
34600,523
21125,470
26575,477
28600,532
35725,518
27500,488
34750,527
36750,518
15100,424
19550,327
22025,467
34750,529
10200,361
26600,525
34825,444
22550,458
39850,497
33650,516
38825,532
16575,306
22550,435
31675,355
29300,479
41000,513
18250,442
33675,525
22425,472
23525,331
18175,453
34000,536
33750,529
32800,534
38775,525
33625,481
34625,518
34950,539
29500,474
15950,371
25450,532
21475,465
25125,477
36775,511
8300,327
27975,488
31650,523
38825,529
33850,523
24025,474
35675,516
20475,313
33050,529
36250,509
22825,451
33700,500
24550,513
36725,477
33725,529
10025,336
36800,509
38750,527
28050,488
36800,527
39825,527
21350,334
32325,500
22725,463
27925,453
34350,509
37775,525
37725,520
33625,490
20400,467
26650,513
39800,417
16700,384
29800,516
36800,534
23550,359
17925,428
33700,525
34825,502
12550,417
21300,449
40900,493
32775,506
23000,481
40825,529
21875,375
17775,256
40900,502
23500,493
36775,523
30650,539
38800,523
30750,518
26725,506
17200,373
20350,414
34725,527
32775,534
35775,518
20450,483
36800,523
21475,336
25750,442
38800,529
37825,506
21625,543
14700,483
23550,451
16325,302
29075,511
22550,334
27650,516
24575,451
20225,401
21450,451
25675,313
23575,477
37775,518
18875,479
38850,525
21550,453
11375,345
18250,426
33750,536
27025,539
35775,518
28775,525
36100,511
25825,490
25475,435
33750,532
40825,525
18025,407
23600,490
37850,527
25100,444
28700,536
19175,329
32825,527
25925,451
24650,463
16200,470
40850,527
37775,518
35800,502
32700,477
33775,488
36250,525
39850,523
32500,467
11375,368
12175,407
29075,525
34975,488
38875,504
16400,419
24000,518
33850,527
37950,520
35825,529
21275,456
27650,527
40950,525
22925,516
28700,539
8375,322
10575,338
35850,523
27450,495
36875,525
8450,322
37850,525
11850,387
37875,525
40875,525
16300,302
34850,523
38925,527
18200,442
35800,529
28800,523
23250,433
18250,412
34825,525
36925,511
38875,523
35850,502
33925,527
11475,387
34975,511
29050,490
20650,474
37850,520
21650,320
37875,520
34875,529
8150,329
24375,481
22350,449
24675,474
32825,532
22000,506
31200,523
9750,327
19250,428
17575,451
24700,470
17425,417
40925,518
35900,504
20125,465
25225,532
35900,518
10575,401
22650,348
35925,511
32875,504
25350,479
24700,509
20450,453
36975,527
19900,437
36975,527
18100,447
10450,380
23600,463
41000,529
28900,511
17150,378
21550,477
19675,470
11775,355
34675,518
28175,525
24675,458
23000,490
9175,331
36025,511
28200,527
39075,539
19275,477
25950,541
26400,539
29775,490
25250,421
29000,532
32500,518
24625,477
38900,520
36925,513
22300,481
32250,520
39550,527
37950,527
21950,453
38675,474
36900,518
31750,525
39875,518
22350,430
15700,407
19250,428
39900,525
35825,506
40900,534
17650,490
23350,516
10800,338
23575,336
35925,527
32875,536
24050,430
9950,331
21200,456
21625,444
22650,435
25550,500
35875,532
24600,490
38925,523
39925,523
26775,504
21125,435
37850,474
27750,493
26700,338
28725,518
34950,497
36900,532
23750,465
17475,348
33850,541
36875,513
35950,500
28700,488
34875,513
24575,334
37925,520
26450,424
35975,486
36900,523
17100,444
38250,527
21725,447
25775,486
31875,525
21625,442
39975,516
32850,502
32075,458
25625,523
22450,451
20625,343
19500,421
29725,486
28375,481
22875,449
34875,520
22250,447
34900,529
18275,449
23700,281
22725,447
39875,520
37950,529
31225,504
28675,520
34875,527
35875,523
30900,523
27750,453
37950,513
35875,516
19400,465
21825,481
23675,456
31750,352
33775,527
24125,449
19575,389
20150,371
36850,529
26500,495
28700,534
39925,532
18350,435
18700,435
36875,527
20075,391
35800,495
36875,520
32800,493
35875,523
20550,435
34825,527
20825,467
39975,511
18925,419
24300,474
28700,336
32775,518
17700,285
9275,331
20450,329
37875,527
17900,430
34825,529
37825,539
38850,520
32875,527
25900,518
18375,435
30000,529
9300,331
25550,488
39850,527
28625,352
22700,465
13400,394
36825,529
22675,447
36850,529
32650,525
21875,440
12475,359
20650,451
24500,500
39900,523
18050,405
25700,529
38875,497
35725,502
17200,424
33575,516
30250,516
39875,525
18350,371
17250,447
36750,502
39925,527
20100,467
35700,532
26150,495
23375,407
8825,325
29975,493
23575,472
29625,525
38475,472
20925,470
35725,518
35725,529
22375,407
37675,534
34775,529
26575,421
20500,437
37875,529
39825,523
24525,518
24000,493
23125,516
22650,481
25300,451
28450,490
30700,527
23525,470
26300,543
36875,532
32725,534
38825,527
37900,506
39875,539
18775,437
32650,518
29100,355
20950,472
22300,509
20500,414
16250,359
32100,497
20825,355
9675,341
24550,440
28650,493
38725,523
38875,532
39825,525
18600,412
23475,483
34700,527
28550,525
34250,513
14550,430
29575,529
22275,472
21575,465
9725,350
26600,509
32550,511
35675,511
37775,529
23650,486
34725,527
27050,486
28625,509
27025,520
19800,387
35725,497
17900,401
23475,465
28600,481
36650,532
37825,502
20175,387
37800,470
37850,525
9675,334
30625,539
35700,477
40825,534
24025,472
32525,523
8250,329
20375,302
34625,516
9125,334
11725,329
35775,534
37800,532
40850,527
21200,477
34675,529
35700,518
22550,513
40850,523
19950,488
34300,518
38825,527
34650,534
36725,518
27725,495
32625,525
32575,523
36625,523
14650,449
18450,442
24625,525
28625,520
30750,536
25925,477
33600,534
27575,477
32600,506
35725,518
30800,543
18475,451
36700,527
34625,532
23925,500
10000,341
32575,539
32475,509
40800,520
39750,523
28475,541
37825,493
20750,435
22875,529
37725,525
20075,447
26775,444
36750,534
38800,513
28000,486
34725,527
34025,518
21125,437
39800,523
35600,513
38675,527
13200,419
35700,527
36175,529
20525,401
35675,529
36750,523
28400,527
35375,511
30475,529
20450,433
30250,421
40725,525
39775,516
28400,513
26875,506
20475,488
35700,502
27600,516
24950,479
26275,481
23425,516
39675,513
23900,467
29575,541
27150,483
24500,536
22100,463
9675,336
29525,516
35875,513
27250,474
17750,433
40850,534
35700,509
23550,343
27575,490
18600,391
31675,511
37725,523
20625,419
39675,525
37775,523
36475,534
12400,394
36700,483
24675,465
37750,516
39650,516
34675,516
31675,502
9800,334
28575,474
32125,523
32750,509
19625,453
38675,516
25575,447
27625,297
23950,474
27875,516
8075,327
33225,516
31725,520
19475,419
22600,449
21525,315
27700,467
27650,493
25600,430
32700,532
36775,532
29175,523
21275,444
37750,518
33700,513
30700,442
21525,447
10050,329
25750,451
24550,458
40700,523
23600,479
27325,479
23550,428
8850,331
13075,290
29650,495
31675,527
18075,449
21025,398
34750,529
29650,523
25800,546
33500,516
28425,451
20525,440
24775,488
11250,378
36525,539
25550,486
37775,529
34725,529
29650,529
25575,456
31700,532
17750,302
30575,546
24000,477
25650,493
24750,523
37800,520
38675,513
35700,516
23150,493
29600,527
40775,520
30200,518
33675,518
31075,536
29700,348
30700,527
31725,504
28050,532
23550,442
35300,518
11200,398
32200,506
8325,327
37750,541
29300,504
31700,511
28200,546
24425,493
25700,534
34675,520
13775,375
29575,513
9550,361
16725,472
25800,518
23825,373
14125,394
27375,511
32675,532
27050,481
35775,523
21250,449
26050,536
24675,493
24525,497
31750,532
36575,493
34625,511
39700,504
27600,518
17425,391
28650,518
24625,523
39750,520
27850,518
15225,389
10950,410
37625,527
32600,516
40700,516
22675,506
36025,534
11700,345
25550,511
27575,470
38700,518
25500,504
8150,341
10975,345
37750,506
28550,529
35625,520
40725,513
37650,523
25600,481
35625,525
16575,426
39775,529
12825,366
20725,440
25575,470
35675,509
20200,488
27625,520
24475,493
40725,465
16450,378
32875,472
12775,414
20300,465
28650,497
36725,523
23625,474
22450,311
22275,477
22150,467
28550,493
33625,527
25025,493
29250,541
34875,506
24800,474
10250,336
36325,500
30925,529
10000,320
11100,343
36725,502
30075,504
17475,421
22775,401
25725,477
24800,548
10150,343
23500,451
34550,527
22675,516
10950,384
33550,525
34700,536
16925,428
31900,527
36675,516
35650,509
8450,329
31500,541
20075,477
35625,527
33575,516
34650,520
35600,504
31550,534
37550,525
33600,532
9525,331
31600,509
37575,543
32550,525
40475,442
33425,486
34425,523
27650,472
28350,511
36450,504
11850,352
39625,529
32275,541
28425,481
37050,516
11550,382
29425,509
38550,546
30475,532
15925,435
18550,430
19150,421
35375,516
40425,502
38100,502
35325,506
26000,511
25300,513
24175,447
37375,502
23675,447
22900,470
26850,479
26700,518
33325,513
36575,396
30025,548
28400,511
21925,437
29525,532
19025,440
20050,435
28425,477
36500,405
22250,426
29400,497
22475,500
10475,373
32425,477
36550,513
26900,513
27325,483
26125,479
27475,483
35475,516
16900,442
16800,447
20700,295
28475,479
9075,325
25750,488
19025,433
30500,523
34600,532
30075,534
25300,488
22675,467
22675,357
20075,467
15950,378
24125,490
32525,539
34600,513
28425,525
30025,477
21575,451
38950,523
35500,527
29375,536
23200,532
40675,525
20875,449
34575,419
16200,417
24550,502
26525,506
19125,389
22875,463
9350,327
40675,527
22400,463
35575,511
30350,451
20250,495
19775,396
22800,453
18550,488
35675,523
25350,456
22275,493
20850,465
9825,329
21175,477
17500,304
11650,364
37600,513
21700,474
38625,527
17600,428
22800,490
24400,405
11675,391
22275,306
21950,442
33525,527
38600,518
30475,477
33475,523
34850,525
22575,470
25950,516
26875,481
11375,380
35350,511
34600,527
17750,414
27425,527
21175,401
30575,493
31500,525
24400,511
27000,325
26425,516
24175,465
16425,403
36550,488
19825,419
27975,509
26575,493
9375,331
31500,504
39975,458
21250,463
33625,525
26350,483
16475,364
10475,366
20975,479
37550,525
8900,315
40675,541
29600,504
35625,525
9500,313
9825,329
17800,451
29975,479
11575,366
8125,311
25025,421
30125,472
25300,506
18075,366
40725,529
26425,513
30475,502
16350,414
26150,486
19875,260
8475,331
37600,523
32650,532
40650,506
10825,364
12525,283
10350,357
27050,513
28475,477
13300,391
22350,348
16075,371
8075,329
21325,426
34800,523
37525,504
10675,405
33475,523
21375,412
35550,523
22050,474
28475,536
15350,394
20350,430
24400,479
18975,430
33025,520
12875,396
21325,440
26350,437
36600,465
21250,467
34825,541
9975,334
36650,527
12700,407
23050,488
16475,398
22550,495
16750,387
19100,479
11625,394
22300,465
36650,513
12975,357
20250,456
31625,523
27525,518
29900,516
40850,502
35275,529
40775,527
28575,488
14500,433
35650,520
9950,368
40825,523
40825,527
8375,343
27550,465
26100,518
36675,525
28400,481
21375,366
23450,348
35625,518
38750,534
11000,396
26525,479
34725,527
34650,532
18250,394
29025,516
34675,529
21925,481
23075,447
24575,428
17325,430
34700,516
20750,483
24525,479
23950,486
34725,529
28975,465
9375,327
32650,527
38725,532
19300,435
37725,518
15475,417
18175,426
20775,504
18225,458
23525,465
28875,523
9275,343
27575,465
29575,444
35750,525
33650,518
8725,334
38750,523
29375,529
32700,527
40900,525
16450,453
36700,527
34725,511
25125,467
22475,318
19425,382
40850,529
37825,527
17650,433
36725,527
15425,407
26800,493
30600,502
26650,534
36750,523
29375,495
17450,447
26075,500
28550,456
35675,525
26450,470
27275,511
9775,387
37750,532
35625,520
34275,410
39750,527
37775,539
33400,529
21575,486
35050,506
27750,502
16300,419
25250,506
36725,479
24000,486
35750,525
34675,527
34625,525
24500,421
37750,511
38800,529
15975,262
31300,520
23250,435
37675,477
26950,486
9175,331
33725,504
39725,523
10600,341
37775,518
33825,529
35675,513
27700,548
34450,518
16450,426
33625,516
27575,518
40750,516
39775,525
17625,449
16075,417
10650,382
34625,523
31475,529
38700,546
28600,474
11100,368
21225,463
28600,513
36100,437
31500,529
37725,486
40775,529
17800,384
29425,520
24775,428
27175,414
20625,479
9325,329
18675,412
37625,463
9200,304
18975,463
29050,493
36700,527
31475,433
22200,451
20450,343
35700,523
37700,506
21475,396
30525,486
33600,527
33575,532
36875,516
33625,516
28450,486
23200,481
29250,525
40475,433
23575,456
38650,458
31600,550
34650,529
20550,465
34650,518
31600,536
35650,525
34650,529
38700,523
19350,391
32475,481
33625,536
35650,513
36700,527
23125,435
16350,421
36700,518
27675,398
21600,541
33625,511
40675,534
22600,509
20825,493
18425,334
35625,529
32650,525
40750,371
35625,520
34100,520
35625,495
35525,529
33550,527
38625,506
38575,523
24025,474
34600,527
30550,504
36575,527
28125,490
26500,548
31525,506
32525,511
31775,490
39300,546
35650,506
39650,520
23025,437
31600,506
35875,518
20400,387
25525,504
22475,313
20475,465
38625,520
39600,511
25150,500
35550,516
12625,403
10025,318
26525,474
21300,493
31350,529
36725,546
34625,488
36575,529
20650,430
36675,493
40650,518
26500,523
35650,527
35550,523
30575,532
8100,325
18125,391
19225,313
21775,435
38625,525
37250,493
10975,325
34575,509
18650,451
32575,532
22225,451
35675,506
23525,504
17425,437
24450,474
19375,488
36625,511
30525,516
20975,453
35500,516
28550,532
26025,513
28575,490
9275,308
39625,523
27500,364
18925,456
36525,520
34625,532
38625,467
18650,384
10125,331
35625,527
28075,529
25350,529
38625,474
38625,527
27475,523
32625,504
34500,467
29925,453
33550,534
37550,523
26200,539
31600,350
15425,396
28525,532
33925,470
30525,534
35600,520
37300,472
22275,447
24475,403
32600,523
29025,506
30550,534
20625,467
24650,488
25350,488
18350,465
40625,527
25200,477
31475,541
35625,527
37675,516
34700,516
37650,532
35625,488
21525,435
16700,341
9175,329
10700,405
22775,479
22475,479
35575,523
21675,470
35650,532
39650,518
37700,532
25350,444
34600,520
38550,523
31150,527
28575,506
34600,525
32600,516
30925,529
9225,336
22875,444
38700,527
23550,486
22050,472
37625,525
25525,428
24150,444
35425,506
40675,527
22800,518
35625,520
36675,520
38575,523
19175,486
38625,525
23825,444
30625,509
23450,479
37650,520
36650,529
38600,518
24300,506
18200,424
30900,506
21525,394
33600,532
26625,506
26550,470
30600,504
17525,401
32400,516
22725,509
35650,520
19475,444
36725,543
23550,481
39625,520
8150,322
24250,541
17225,410
27275,513
24550,518
22800,463
22700,527
26400,523
37650,511
22475,320
39625,516
20775,470
10300,350
35650,523
23875,472
36675,518
24375,493
23900,504
18750,483
40600,516
38575,527
36650,527
13725,292
17000,442
37525,529
30600,532
20225,444
39650,529
27525,470
38650,518
22725,483
38725,520
36625,527
34625,523
18950,419
36650,532
30575,502
17050,412
21525,444
21025,470
32650,520
33550,520
23475,486
35625,509
35675,509
38625,516
35650,520
35600,509
37450,534
32725,548
24975,513
39625,532
24625,483
38550,525
34550,495
23325,479
33050,506
38575,525
17375,426
29275,527
40550,523
36425,523
24125,495
19425,493
24725,495
37650,520
23250,477
40650,527
25050,481
30900,518
22525,477
18825,405
38575,529
33500,527
17450,486
37600,525
40725,546
27075,474
27650,486
24350,490
21575,504
20300,313
21375,472
16175,440
30050,520
22475,490
19450,458
36250,518
28500,444
34450,523
39550,529
33450,525
38575,525
31750,500
37625,525
26275,509
17500,419
37625,506
40625,529
39625,527
39625,516
27800,426
40625,525
13125,394
35450,527
36475,520
26425,348
28450,458
22225,430
29200,532
39625,527
38550,529
39550,525
34475,516
32425,552
30150,389
27900,453
23625,437
29150,497
18500,405
36525,532
36500,523
38525,472
37575,523
34525,529
29950,382
20575,421
23275,486
22350,435
39600,516
30450,506
32450,523
33475,534
37575,527
27425,486
19475,334
35025,500
38575,518
33475,525
23375,481
37550,509
33425,529
36875,527
35100,550
34500,532
10225,311
26775,481
37625,523
36600,525
26850,366
24925,463
17550,343
35525,543
24050,414
28275,536
24725,518
17600,315
27950,502
28350,532
36575,532
24325,458
30350,523
33400,488
8875,329
19425,458
28375,488
35800,456
32700,520
11800,412
38575,527
13300,384
16475,318
37475,527
31300,523
19325,456
36500,527
37550,543
25900,447
32400,529
40600,497
21250,313
35525,518
20750,493
32775,516
33375,502
11400,403
20075,488
35725,536
29375,502
20725,465
26000,486
11575,375
24375,539
32350,495
30425,525
36425,481
35450,516
32375,520
41050,504
8450,308
40650,495
13925,442
25700,479
26225,539
27475,511
12875,348
39550,525
21550,477
35500,493
30275,504
40650,493
40600,527
35425,525
38575,525
32550,513
41250,534
37475,511
24100,467
39600,523
36425,511
33400,483
30900,472
22675,483
16100,407
13450,435
23675,481
24925,497
39650,527
14775,396
26075,495
39575,539
18750,442
17325,318
39625,529
30300,502
35475,532
34375,527
30275,511
27350,325
24375,518
19250,447
33350,509
36475,518
32450,534
29350,516
10875,341
15950,433
11700,405
37525,532
24150,394
15025,426
32325,520
16125,435
38575,527
35525,511
17475,313
10400,352
32400,500
19800,453
14525,403
22075,387
28375,529
8900,325
29950,548
35425,529
23600,511
29250,511
16550,341
19500,442
28325,523
26850,513
24225,493
25000,467
35550,511
34450,525
33425,543
23850,477
11900,389
25375,456
36525,523
29400,481
23125,435
33500,516
14575,410
22025,396
32375,532
15650,424
33175,532
18675,421
37625,516
26100,506
24625,479
37600,548
9100,329
35550,509
9900,334
31350,502
27050,506
36575,520
15075,274
11125,375
38700,518
16150,435
40675,509
17450,424
35600,504
9575,318
28350,523
18850,430
36550,532
23300,453
25900,518
21325,276
11300,345
37600,525
34450,527
21275,345
30800,536
40725,520
8725,318
38700,532
17800,373
39700,527
9550,329
38675,529
26975,509
22625,502
24350,474
37625,536
26375,504
37550,532
17625,373
34550,513
10150,336
24875,527
26375,504
37625,529
28375,511
29400,511
37675,534
15950,401
35575,541
31475,500
34550,534
20900,433
32450,536
27100,534
26350,361
16825,403
12625,412
37625,543
36700,541
15275,447
37700,506
24300,495
26450,486
29475,518
21425,318
27475,511
20275,500
21350,465
28400,506
23375,470
38775,518
24375,456
40875,532
24350,481
10875,357
24400,456
38775,511
24425,474
26425,477
19350,440
40800,536
21425,495
24450,451
38700,529
26025,502
23950,548
22375,500
29200,509
19350,467
19400,453
21700,426
20600,435
27500,513
25150,493
23425,481
25250,483
27450,523
20900,433
36750,527
26125,472
35650,525
20400,414
35600,536
37800,536
35650,511
33625,513
27125,506
11975,384
11525,355
10900,368
9800,361
37775,511
23800,470
33475,536
38675,550
39775,523
26675,518
18625,453
39675,525
37675,546
27475,548
27725,527
23600,405
38825,525
16950,373
39425,541
38925,518
22700,481
40875,516
24650,488
26700,308
27725,308
29600,539
29625,502
15875,453
34575,488
28850,500
15750,410
34750,511
36700,523
25100,470
24750,506
33025,520
16750,451
40925,529
21675,267
11750,378
26675,472
23125,506
18050,437
36150,516
34725,520
25150,486
31650,523
26925,463
25150,488
28900,493
36775,520
38775,509
17650,292
25650,345
35775,518
40875,502
25725,516
35200,529
34775,546
40800,518
24225,440
30350,511
37725,523
20525,338
36800,502
37825,520
40850,523
28725,516
28225,516
39850,513
28800,502
20700,308
37800,520
34850,486
28575,504
32775,520
23250,389
36825,550
40850,495
40950,523
20950,387
37800,506
28400,488
23250,308
37850,523
30775,504
27850,331
34825,520
23850,449
20600,357
40875,520
19900,486
35750,509
25325,463
30750,497
30175,486
24000,488
28125,513
40875,509
24200,456
20900,456
35800,532
27875,513
34825,529
21250,355
27200,520
38875,532
23375,433
40875,529
37800,509
19625,456
30800,483
23750,472
21950,474
34850,532
30450,529
20725,318
19975,453
36825,516
37900,520
30800,502
30800,520
27625,449
34700,518
35875,509
38875,523
25000,442
28800,488
33825,534
34775,527
23650,453
32850,541
19250,405
22050,470
30575,509
28700,525
28825,520
25900,465
25725,449
36850,495
33775,520
17150,401
36850,520
24825,493
12750,345
34725,518
32825,529
17375,391
19625,426
20700,456
34800,516
40875,490
16625,318
14825,414
19650,430
12525,405
24575,479
8350,318
21575,440
25675,481
16050,414
26775,486
34300,513
10800,338
